"Wijken";"Wijkenranking: totaalscore sociaal-economische situatie  (0 tot 100)|2025"
"Amandus - Atheneum";37
"Brederode";0
"Centraal Station";20
"Dam";23
"Eilandje";10
"Haringrode";13
"Harmonie";3
"Haven Antwerpen";7
"Historisch Centrum";20
"Kiel";53
"Linkeroever";53
"Luchtbal";40
"Markgrave";0
"Middelheim";0
"Nieuw - Zuid";10
"Petroleum - Zuid";3
"Sint-Andries";17
"Stadspark";43
"Stuivenberg";73
"Tentoonstellingswijk";17
"Theaterbuurt-Meir";7
"Universiteitsbuurt";10
"Zuid";0
"Zurenborg";0
"Groenenhoek";20
"Nieuw - Kwartier Oost";10
"Nieuw - Kwartier West";0
"Oud - Berchem";10
"Haven Bezali";0
"Lillo";13
"Polder";3
"Borgerhout - Extra Muros";13
"Borgerhout Intra Muros Noord";33
"Borgerhout Intra Muros Zuid";30
"Deurne - Noord";43
"Kruininge - Bremweide";23
"Deurne Dorp - Gallifort";30
"Deurne - Oost";23
"Deurne - Zuidwest";17
"Deurne - Zuidoost";10
"Deurne Vlieghaven";13
"Rivierenhof";13
"Donk";3
"Ekeren Centrum";10
"Leugenberg";3
"Mariaburg";3
"Schoonbroek-Rozemaai";7
"Muisbroek-Bospolder";0
"Hoboken - Centrum";7
"Hoboken - Noord";23
"Hoboken - West";3
"Hoboken - Zuidoost";30
"Lambrechtshoeken";13
"Merksem - Heide";7
"Nieuwdreef";13
"Oud - Merksem";13
"Tuinwijk";13
"Hoogte";3
"Oosterveld - Elsdonk";7
"Valaar";7
"Wilrijk Centrum";0
"Koornbloem";3
"Neerland";10
"Schelde";0
"Borsbeek-Groen";""
"Borsbeek-Oost";""
"Borsbeek-West";""